"Treatment","LINE","SEX","REP","TIME","censor","ID"
"738","C","4","H","8",3.72,"none","4 - 8 - H - C"
"739","C","4","H","8",1.66,"none","4 - 8 - H - C"
"740","C","4","H","9",3.14,"none","4 - 9 - H - C"
"741","C","4","H","11",3.91,"none","4 - 11 - H - C"
"742","C","4","H","12",2.57,"none","4 - 12 - H - C"
"743","C","4","H","12",4,"right","4 - 12 - H - C"
"744","C","4","H","12",4,"right","4 - 12 - H - C"
"745","C","4","H","12",4,"right","4 - 12 - H - C"
"746","C","4","H","14",3.43,"none","4 - 14 - H - C"
"747","C","4","H","14",4,"right","4 - 14 - H - C"
"748","C","4","H","14",2.8,"none","4 - 14 - H - C"
"749","C","4","H","14",3.8,"none","4 - 14 - H - C"
"750","P","4","M","1",2.44,"none","4 - 1 - M - P"
"751","P","4","M","1",1.34,"none","4 - 1 - M - P"
"752","P","4","M","1",3.19,"none","4 - 1 - M - P"
"753","P","4","M","1",0.12,"none","4 - 1 - M - P"
"754","P","4","M","2",2.97,"none","4 - 2 - M - P"
"755","P","4","M","2",3.56,"none","4 - 2 - M - P"
"756","P","4","M","2",2.42,"none","4 - 2 - M - P"
"757","P","4","M","2",2.41,"none","4 - 2 - M - P"
"758","P","4","M","2",3.7,"none","4 - 2 - M - P"
"759","P","4","M","3",1.84,"none","4 - 3 - M - P"
"760","P","4","M","3",2.67,"none","4 - 3 - M - P"
"761","P","4","M","3",2.79,"none","4 - 3 - M - P"
"762","P","4","M","3",1.99,"none","4 - 3 - M - P"
"763","P","4","M","3",0.99,"none","4 - 3 - M - P"
"764","P","4","M","4",1.63,"none","4 - 4 - M - P"
"765","P","4","M","4",1.17,"none","4 - 4 - M - P"
"766","P","4","M","4",1,"none","4 - 4 - M - P"
"767","P","4","M","4",2.43,"none","4 - 4 - M - P"
"768","P","4","M","5",2,"none","4 - 5 - M - P"
"769","P","4","M","5",1.96,"none","4 - 5 - M - P"
"770","P","4","M","5",2.85,"none","4 - 5 - M - P"
"771","P","4","M","5",2.47,"none","4 - 5 - M - P"
"772","P","4","M","5",2.48,"none","4 - 5 - M - P"
"773","P","4","M","6",2.13,"none","4 - 6 - M - P"
"774","P","4","M","6",3.03,"none","4 - 6 - M - P"
"775","P","4","M","6",2.23,"none","4 - 6 - M - P"
"776","P","4","M","6",1.17,"none","4 - 6 - M - P"
"777","P","4","M","6",2.23,"none","4 - 6 - M - P"
"778","C","4","M","7",2.91,"none","4 - 7 - M - C"
"779","C","4","M","7",1.8,"none","4 - 7 - M - C"
"780","C","4","M","8",2.08,"none","4 - 8 - M - C"
"781","C","4","M","8",1.46,"none","4 - 8 - M - C"
"782","C","4","M","8",3.42,"none","4 - 8 - M - C"
"783","C","4","M","8",1.34,"none","4 - 8 - M - C"
"784","C","4","M","8",2.03,"none","4 - 8 - M - C"
"785","C","4","M","9",1.87,"none","4 - 9 - M - C"
"786","C","4","M","9",1,"none","4 - 9 - M - C"
"787","C","4","M","9",0.86,"none","4 - 9 - M - C"
"788","C","4","M","9",2.63,"none","4 - 9 - M - C"
"789","C","4","M","10",2.83,"none","4 - 10 - M - C"
"790","C","4","M","10",1.16,"none","4 - 10 - M - C"
"791","C","4","M","10",2.3,"none","4 - 10 - M - C"
"792","C","4","M","10",0.7,"none","4 - 10 - M - C"
"793","C","4","M","10",2.2,"none","4 - 10 - M - C"
"794","C","4","M","11",4,"right","4 - 11 - M - C"
"795","C","4","M","11",1.23,"none","4 - 11 - M - C"
"796","C","4","M","11",1.87,"none","4 - 11 - M - C"
"797","C","4","M","11",1.4,"none","4 - 11 - M - C"
"798","C","4","M","12",2.69,"none","4 - 12 - M - C"
"799","C","4","M","12",0.99,"none","4 - 12 - M - C"
"800","C","4","M","12",1.75,"none","4 - 12 - M - C"
"801","C","4","M","12",1.52,"none","4 - 12 - M - C"
"802","C","4","M","12",1.93,"none","4 - 12 - M - C"
"803","C","4","M","13",3.04,"none","4 - 13 - M - C"
"804","C","4","M","13",3.29,"none","4 - 13 - M - C"
"805","C","4","M","13",0.79,"none","4 - 13 - M - C"
"806","C","4","M","13",1.08,"none","4 - 13 - M - C"
"807","C","4","M","13",2.8,"none","4 - 13 - M - C"
"808","P","3","H","1",2.16,"none","3 - 1 - H - P"
"809","P","3","H","1",2.32,"none","3 - 1 - H - P"
"810","P","3","H","1",1.03,"none","3 - 1 - H - P"
"811","P","3","H","1",3.91,"none","3 - 1 - H - P"
"812","P","3","H","1",1.61,"none","3 - 1 - H - P"
"813","P","3","H","2",1.68,"none","3 - 2 - H - P"
"814","P","3","H","2",3.87,"none","3 - 2 - H - P"
"815","P","3","H","2",2.41,"none","3 - 2 - H - P"
"816","P","3","H","2",3.04,"none","3 - 2 - H - P"
"817","P","3","H","2",2.12,"none","3 - 2 - H - P"
"818","P","3","H","3",1.23,"none","3 - 3 - H - P"
"819","P","3","H","3",2.69,"none","3 - 3 - H - P"
"820","P","3","H","3",2.26,"none","3 - 3 - H - P"
"821","P","3","H","3",2.72,"none","3 - 3 - H - P"
"822","P","3","H","4",2.87,"none","3 - 4 - H - P"
"823","P","3","H","4",3.69,"none","3 - 4 - H - P"
"824","P","3","H","4",3.63,"none","3 - 4 - H - P"
"825","P","3","H","4",2.33,"none","3 - 4 - H - P"
"826","P","3","H","4",3.76,"none","3 - 4 - H - P"
"827","P","3","H","5",3.85,"none","3 - 5 - H - P"
"828","P","3","H","5",3.23,"none","3 - 5 - H - P"
"829","P","3","H","5",3.01,"none","3 - 5 - H - P"
"830","P","3","H","5",3.09,"none","3 - 5 - H - P"
"831","P","3","H","5",1.01,"none","3 - 5 - H - P"
"832","C","3","H","6",1.51,"none","3 - 6 - H - C"
"833","C","3","H","6",1.35,"none","3 - 6 - H - C"
"834","C","3","H","6",2.33,"none","3 - 6 - H - C"
"835","C","3","H","7",1.58,"none","3 - 7 - H - C"
"836","C","3","H","7",2.14,"none","3 - 7 - H - C"
"837","C","3","H","8",3.31,"none","3 - 8 - H - C"
"838","C","3","H","8",3.78,"none","3 - 8 - H - C"
"839","C","3","H","8",2.57,"none","3 - 8 - H - C"
"840","C","3","H","8",1.81,"none","3 - 8 - H - C"
"841","C","3","H","8",1.75,"none","3 - 8 - H - C"
"842","C","3","H","9",4,"right","3 - 9 - H - C"
"843","C","3","H","9",2.43,"none","3 - 9 - H - C"
"844","C","3","H","9",3.19,"none","3 - 9 - H - C"
"845","C","3","H","9",4,"right","3 - 9 - H - C"
"846","C","3","H","10",2.33,"none","3 - 10 - H - C"
"847","C","3","H","10",2.45,"none","3 - 10 - H - C"
"848","C","3","H","10",4,"right","3 - 10 - H - C"
"849","C","3","H","10",4,"right","3 - 10 - H - C"
"850","C","3","H","10",2.24,"none","3 - 10 - H - C"
"851","C","3","H","11",3.65,"none","3 - 11 - H - C"
"852","P","3","M","1",0.89,"none","3 - 1 - M - P"
"853","P","3","M","1",2.46,"none","3 - 1 - M - P"
"854","P","3","M","1",2.7,"none","3 - 1 - M - P"
"855","P","3","M","1",2.85,"none","3 - 1 - M - P"
"856","P","3","M","1",1.95,"none","3 - 1 - M - P"
"857","P","3","M","3",2.34,"none","3 - 3 - M - P"
"858","P","3","M","3",1.95,"none","3 - 3 - M - P"
"859","P","3","M","3",2.86,"none","3 - 3 - M - P"
"860","P","3","M","3",1.81,"none","3 - 3 - M - P"
"861","P","3","M","4",1.6,"none","3 - 4 - M - P"
"862","P","3","M","4",0.41,"none","3 - 4 - M - P"
"863","P","3","M","4",2.34,"none","3 - 4 - M - P"
"864","P","3","M","4",0.94,"none","3 - 4 - M - P"
"865","P","3","M","4",1.99,"none","3 - 4 - M - P"
"866","P","3","M","5",2.87,"none","3 - 5 - M - P"
"867","P","3","M","5",1.27,"none","3 - 5 - M - P"
"868","P","3","M","5",0.66,"none","3 - 5 - M - P"
"869","P","3","M","5",2.84,"none","3 - 5 - M - P"
"870","P","3","M","5",3.05,"none","3 - 5 - M - P"
"871","P","3","M","6",3.35,"none","3 - 6 - M - P"
"872","P","3","M","6",2.46,"none","3 - 6 - M - P"
"873","P","3","M","6",2,"none","3 - 6 - M - P"
"874","P","3","M","6",2.65,"none","3 - 6 - M - P"
"875","P","3","M","6",1.76,"none","3 - 6 - M - P"
"876","P","3","M","7",2.02,"none","3 - 7 - M - P"
"877","P","3","M","7",2.65,"none","3 - 7 - M - P"
"878","P","3","M","7",1.01,"none","3 - 7 - M - P"
"879","P","3","M","7",1.48,"none","3 - 7 - M - P"
"880","C","3","M","8",3.13,"none","3 - 8 - M - C"
"881","C","3","M","8",0.73,"none","3 - 8 - M - C"
"882","C","3","M","8",1.76,"none","3 - 8 - M - C"
"883","C","3","M","8",2.77,"none","3 - 8 - M - C"
"884","C","3","M","9",3.91,"none","3 - 9 - M - C"
"885","C","3","M","9",1.26,"none","3 - 9 - M - C"
"886","C","3","M","9",4,"right","3 - 9 - M - C"
"887","C","3","M","9",3.94,"none","3 - 9 - M - C"
"888","C","3","M","10",3.27,"none","3 - 10 - M - C"
"889","C","3","M","10",1.99,"none","3 - 10 - M - C"
"890","C","3","M","10",3.22,"none","3 - 10 - M - C"
"891","C","3","M","10",2.22,"none","3 - 10 - M - C"
"892","C","3","M","11",3.09,"none","3 - 11 - M - C"
"893","C","3","M","11",2.86,"none","3 - 11 - M - C"
"894","C","3","M","11",4,"right","3 - 11 - M - C"
"895","C","3","M","11",4,"right","3 - 11 - M - C"
"896","C","3","M","11",3.1,"none","3 - 11 - M - C"
"897","C","3","M","12",2.37,"none","3 - 12 - M - C"
"898","C","3","M","12",3.29,"none","3 - 12 - M - C"
"899","C","3","M","12",1.87,"none","3 - 12 - M - C"
"900","C","3","M","12",3.01,"none","3 - 12 - M - C"
"901","C","3","M","12",1.17,"none","3 - 12 - M - C"
"902","C","3","M","13",3.04,"none","3 - 13 - M - C"
"903","C","3","M","13",3.39,"none","3 - 13 - M - C"
"904","C","3","M","13",4,"right","3 - 13 - M - C"
"905","C","3","M","13",3.9,"none","3 - 13 - M - C"
"906","C","3","M","13",1.02,"none","3 - 13 - M - C"
"907","P","3","H","1",3.86,"none","3 - 1 - H - P"
"908","P","3","H","2",2.47,"none","3 - 2 - H - P"
"909","P","3","H","2",2.79,"none","3 - 2 - H - P"
"910","C","3","H","3",1.37,"none","3 - 3 - H - C"
"911","C","3","H","3",4,"right","3 - 3 - H - C"
"912","C","3","H","3",0.78,"none","3 - 3 - H - C"
"913","C","3","H","3",4,"right","3 - 3 - H - C"
"914","C","3","H","4",2.93,"none","3 - 4 - H - C"
"915","C","3","H","4",4,"right","3 - 4 - H - C"
"916","P","3","M","1",1.56,"none","3 - 1 - M - P"
"917","P","3","M","1",3.2,"none","3 - 1 - M - P"
"918","P","3","M","1",2.19,"none","3 - 1 - M - P"
"919","P","3","M","1",2.6,"none","3 - 1 - M - P"
"920","P","3","M","2",1.81,"none","3 - 2 - M - P"
"921","P","3","M","2",1.86,"none","3 - 2 - M - P"
"922","P","3","M","2",2.12,"none","3 - 2 - M - P"
"923","P","3","M","2",1.35,"none","3 - 2 - M - P"
"924","P","3","M","3",2.44,"none","3 - 3 - M - P"
"925","P","3","M","3",2.19,"none","3 - 3 - M - P"
"926","P","3","M","3",2.68,"none","3 - 3 - M - P"
"927","P","3","M","3",2.25,"none","3 - 3 - M - P"
"928","P","3","M","4",3.48,"none","3 - 4 - M - P"
"929","P","3","M","4",1.79,"none","3 - 4 - M - P"
"930","P","3","M","4",2.84,"none","3 - 4 - M - P"
"931","P","3","M","5",1.94,"none","3 - 5 - M - P"
"932","P","3","M","5",1.21,"none","3 - 5 - M - P"
"933","C","3","M","6",1.23,"none","3 - 6 - M - C"
"934","C","3","M","6",2.32,"none","3 - 6 - M - C"
"935","C","3","M","6",1.93,"none","3 - 6 - M - C"
"936","C","3","M","7",3.02,"none","3 - 7 - M - C"
"937","C","3","M","7",3.04,"none","3 - 7 - M - C"
"938","C","3","M","8",4,"right","3 - 8 - M - C"
"939","C","3","M","8",2.45,"none","3 - 8 - M - C"
"940","C","3","M","8",1.9,"none","3 - 8 - M - C"
"941","C","3","M","9",4,"right","3 - 9 - M - C"
"942","C","3","M","9",1.56,"none","3 - 9 - M - C"
"943","C","3","M","9",1.31,"none","3 - 9 - M - C"
"944","C","3","M","9",1.99,"none","3 - 9 - M - C"
"945","C","3","M","9",3.38,"none","3 - 9 - M - C"
"946","C","3","M","10",2.3,"none","3 - 10 - M - C"
"947","C","3","M","10",1.9,"none","3 - 10 - M - C"
"948","C","3","M","10",2.47,"none","3 - 10 - M - C"
"949","C","3","M","10",2.78,"none","3 - 10 - M - C"
"950","P","3","H","1",1.23,"none","3 - 1 - H - P"
"951","P","3","H","1",1.85,"none","3 - 1 - H - P"
"952","P","3","H","1",1.71,"none","3 - 1 - H - P"
"953","P","3","H","1",1.55,"none","3 - 1 - H - P"
"954","P","3","H","1",2.27,"none","3 - 1 - H - P"
"955","P","3","H","2",2.11,"none","3 - 2 - H - P"
"956","P","3","H","2",2.47,"none","3 - 2 - H - P"
"957","P","3","H","2",3.14,"none","3 - 2 - H - P"
"958","P","3","H","2",2.16,"none","3 - 2 - H - P"
"959","P","3","H","2",2.34,"none","3 - 2 - H - P"
"960","P","3","H","3",2.39,"none","3 - 3 - H - P"
"961","P","3","H","3",1.29,"none","3 - 3 - H - P"
"962","P","3","H","3",3.13,"none","3 - 3 - H - P"
"963","P","3","H","3",2.73,"none","3 - 3 - H - P"
"964","P","3","H","4",2.7,"none","3 - 4 - H - P"
"965","P","3","H","4",2.3,"none","3 - 4 - H - P"
"966","P","3","H","4",3.43,"none","3 - 4 - H - P"
"967","P","3","H","4",1.84,"none","3 - 4 - H - P"
"968","P","3","H","5",1.65,"none","3 - 5 - H - P"
"969","P","3","H","5",2.58,"none","3 - 5 - H - P"
"970","P","3","H","5",2.08,"none","3 - 5 - H - P"
"971","P","3","H","6",2.45,"none","3 - 6 - H - P"
"972","P","3","H","6",3.7,"none","3 - 6 - H - P"
"973","P","3","H","6",1.08,"none","3 - 6 - H - P"
"974","P","3","H","6",3.45,"none","3 - 6 - H - P"
"975","C","3","H","7",1.97,"none","3 - 7 - H - C"
"976","C","3","H","7",3.54,"none","3 - 7 - H - C"
"977","C","3","H","8",3.88,"none","3 - 8 - H - C"
"978","C","3","H","8",4,"right","3 - 8 - H - C"
"979","C","3","H","8",3.22,"none","3 - 8 - H - C"
"980","C","3","H","9",2.15,"none","3 - 9 - H - C"
"981","C","3","H","9",4,"right","3 - 9 - H - C"
"982","C","3","H","9",3.94,"none","3 - 9 - H - C"
"983","C","3","H","10",2.83,"none","3 - 10 - H - C"
"984","C","3","H","10",2.03,"none","3 - 10 - H - C"
"985","C","3","H","10",3.9,"none","3 - 10 - H - C"
"986","C","3","H","10",2.99,"none","3 - 10 - H - C"
"987","C","3","H","10",3.04,"none","3 - 10 - H - C"
"988","P","3","M","1",1.04,"none","3 - 1 - M - P"
"989","P","3","M","1",2.12,"none","3 - 1 - M - P"
"990","P","3","M","1",1.21,"none","3 - 1 - M - P"
"991","P","3","M","1",1.36,"none","3 - 1 - M - P"
"992","P","3","M","1",2.63,"none","3 - 1 - M - P"
"993","P","3","M","2",2.64,"none","3 - 2 - M - P"
"994","P","3","M","2",2.62,"none","3 - 2 - M - P"
"995","P","3","M","2",1.23,"none","3 - 2 - M - P"
"996","P","3","M","2",1.5,"none","3 - 2 - M - P"
"997","P","3","M","2",2.8,"none","3 - 2 - M - P"
"998","P","3","M","3",1.32,"none","3 - 3 - M - P"
"999","P","3","M","3",2.22,"none","3 - 3 - M - P"
"1000","P","3","M","3",1.65,"none","3 - 3 - M - P"
"1001","P","3","M","3",1.62,"none","3 - 3 - M - P"
"1002","P","3","M","3",1.72,"none","3 - 3 - M - P"
"1003","P","3","M","4",1.93,"none","3 - 4 - M - P"
"1004","P","3","M","4",3.2,"none","3 - 4 - M - P"
"1005","P","3","M","4",2.59,"none","3 - 4 - M - P"
"1006","P","3","M","4",1.55,"none","3 - 4 - M - P"
"1007","C","3","M","6",4,"right","3 - 6 - M - C"
"1008","C","3","M","6",4,"right","3 - 6 - M - C"
"1009","C","3","M","6",1.71,"none","3 - 6 - M - C"
"1010","C","3","M","6",3.89,"none","3 - 6 - M - C"
"1011","C","3","M","6",2.6,"none","3 - 6 - M - C"
"1012","C","3","M","7",3.98,"none","3 - 7 - M - C"
"1013","C","3","M","7",3.29,"none","3 - 7 - M - C"
"1014","C","3","M","7",3.34,"none","3 - 7 - M - C"
"1015","C","3","M","7",2.46,"none","3 - 7 - M - C"
"1016","C","3","M","8",3.76,"none","3 - 8 - M - C"
"1017","C","3","M","8",3.88,"none","3 - 8 - M - C"
"1018","C","3","M","9",1.79,"none","3 - 9 - M - C"
"1019","C","3","M","9",2.11,"none","3 - 9 - M - C"
"1020","C","3","M","9",2.21,"none","3 - 9 - M - C"
"1021","C","3","M","9",2.35,"none","3 - 9 - M - C"
"1022","P","3","H","1",2.34,"none","3 - 1 - H - P"
"1023","P","3","H","1",2.67,"none","3 - 1 - H - P"
"1024","P","3","H","1",2.14,"none","3 - 1 - H - P"
"1025","P","3","H","1",2,"none","3 - 1 - H - P"
"1026","P","3","H","2",1.09,"none","3 - 2 - H - P"
"1027","P","3","H","2",3.43,"none","3 - 2 - H - P"
"1028","P","3","H","2",2.21,"none","3 - 2 - H - P"
"1029","P","3","H","2",3.01,"none","3 - 2 - H - P"
"1030","P","3","H","2",2.57,"none","3 - 2 - H - P"
"1031","P","3","H","3",1.45,"none","3 - 3 - H - P"
"1032","P","3","H","3",1.06,"none","3 - 3 - H - P"
"1033","P","3","H","3",1.96,"none","3 - 3 - H - P"
"1034","P","3","H","3",3.47,"none","3 - 3 - H - P"
"1035","P","3","H","3",0.77,"none","3 - 3 - H - P"
"1036","P","3","H","4",1.8,"none","3 - 4 - H - P"
"1037","P","3","H","4",2.69,"none","3 - 4 - H - P"
"1038","P","3","H","4",4,"right","3 - 4 - H - P"
"1039","P","3","H","4",3.97,"none","3 - 4 - H - P"
"1040","P","3","H","4",2.58,"none","3 - 4 - H - P"
"1041","P","3","H","5",1.9,"none","3 - 5 - H - P"
"1042","P","3","H","5",2.46,"none","3 - 5 - H - P"
"1043","P","3","H","5",0.97,"none","3 - 5 - H - P"
"1044","P","3","H","5",4,"right","3 - 5 - H - P"
"1045","P","3","H","5",4,"right","3 - 5 - H - P"
"1046","P","3","H","6",2.59,"none","3 - 6 - H - P"
"1047","P","3","H","6",2.64,"none","3 - 6 - H - P"
"1048","P","3","H","6",3.59,"none","3 - 6 - H - P"
"1049","P","3","H","6",3.63,"none","3 - 6 - H - P"
"1050","P","3","H","6",2.6,"none","3 - 6 - H - P"
"1051","P","3","H","7",3.67,"none","3 - 7 - H - P"
"1052","P","3","H","7",3.2,"none","3 - 7 - H - P"
"1053","P","3","H","7",1.09,"none","3 - 7 - H - P"
"1054","P","3","H","7",2.15,"none","3 - 7 - H - P"
"1055","P","3","H","7",1.2,"none","3 - 7 - H - P"
"1056","P","3","H","8",1.97,"none","3 - 8 - H - P"
"1057","P","3","H","8",2.59,"none","3 - 8 - H - P"
"1058","P","3","H","8",2.67,"none","3 - 8 - H - P"
"1059","P","3","H","8",0.58,"none","3 - 8 - H - P"
"1060","P","3","H","9",1.9,"none","3 - 9 - H - P"
"1061","P","3","H","9",1.67,"none","3 - 9 - H - P"
"1062","P","3","H","9",2.78,"none","3 - 9 - H - P"
"1063","P","3","H","9",0.93,"none","3 - 9 - H - P"
"1064","P","3","H","9",4,"right","3 - 9 - H - P"
"1065","P","3","H","10",1.34,"none","3 - 10 - H - P"
"1066","P","3","H","10",2.47,"none","3 - 10 - H - P"
"1067","P","3","H","10",2.08,"none","3 - 10 - H - P"
"1068","P","3","H","10",1.64,"none","3 - 10 - H - P"
"1069","P","3","H","10",1.93,"none","3 - 10 - H - P"
"1070","P","3","H","11",1.48,"none","3 - 11 - H - P"
"1071","P","3","H","11",1.31,"none","3 - 11 - H - P"
"1072","P","3","H","11",2.56,"none","3 - 11 - H - P"
"1073","P","3","H","11",0.49,"none","3 - 11 - H - P"
"1074","P","3","H","12",4,"right","3 - 12 - H - P"
"1075","P","3","H","12",1.56,"none","3 - 12 - H - P"
"1076","P","3","H","12",3.02,"none","3 - 12 - H - P"
"1077","P","3","H","12",2.19,"none","3 - 12 - H - P"
"1078","P","3","H","13",4,"right","3 - 13 - H - P"
"1079","P","3","H","13",2.25,"none","3 - 13 - H - P"
"1080","P","3","H","13",2.96,"none","3 - 13 - H - P"
"1081","P","3","H","13",1.1,"none","3 - 13 - H - P"
"1082","P","3","H","13",2.01,"none","3 - 13 - H - P"
"1083","C","3","H","14",1.05,"none","3 - 14 - H - C"
"1084","C","3","H","14",3.16,"none","3 - 14 - H - C"
"1085","C","3","H","15",1.62,"none","3 - 15 - H - C"
"1086","C","3","H","15",2.03,"none","3 - 15 - H - C"
"1087","C","3","H","15",2.08,"none","3 - 15 - H - C"
"1088","C","3","H","15",1.29,"none","3 - 15 - H - C"
"1089","C","3","H","15",3.62,"none","3 - 15 - H - C"
"1090","C","3","H","16",2.25,"none","3 - 16 - H - C"
"1091","C","3","H","16",1.34,"none","3 - 16 - H - C"
"1092","C","3","H","16",2.7,"none","3 - 16 - H - C"
"1093","C","3","H","16",3.82,"none","3 - 16 - H - C"
"1094","C","3","H","16",2.43,"none","3 - 16 - H - C"
"1095","C","3","H","17",2.13,"none","3 - 17 - H - C"
"1096","C","3","H","18",4,"right","3 - 18 - H - C"
"1097","C","3","H","18",3.41,"none","3 - 18 - H - C"
"1098","C","3","H","18",3.85,"none","3 - 18 - H - C"
"1099","C","3","H","18",4,"right","3 - 18 - H - C"
"1100","C","3","H","18",4,"right","3 - 18 - H - C"
"1101","C","3","H","19",3.12,"none","3 - 19 - H - C"
"1102","C","3","H","19",1.32,"none","3 - 19 - H - C"
"1103","C","3","H","19",2.3,"none","3 - 19 - H - C"
"1104","C","3","H","19",4,"right","3 - 19 - H - C"
"1105","C","3","H","19",1.37,"none","3 - 19 - H - C"
"1106","C","3","H","20",2.28,"none","3 - 20 - H - C"
"1107","C","3","H","20",2.95,"none","3 - 20 - H - C"
"1108","C","3","H","20",2.89,"none","3 - 20 - H - C"
"1109","C","3","H","21",4,"right","3 - 21 - H - C"
"1110","C","3","H","21",3.12,"none","3 - 21 - H - C"
"1111","C","3","H","21",0.45,"none","3 - 21 - H - C"
"1112","C","3","H","21",2.81,"none","3 - 21 - H - C"
"1113","C","3","H","22",3.68,"none","3 - 22 - H - C"
"1114","C","3","H","22",3.12,"none","3 - 22 - H - C"
"1115","C","3","H","22",1.04,"none","3 - 22 - H - C"
"1116","C","3","H","22",2.3,"none","3 - 22 - H - C"
"1117","C","3","H","22",2.39,"none","3 - 22 - H - C"
"1118","C","3","H","23",2.82,"none","3 - 23 - H - C"
"1119","C","3","H","23",1.88,"none","3 - 23 - H - C"
"1120","C","3","H","23",1.81,"none","3 - 23 - H - C"
"1121","C","3","H","23",2.27,"none","3 - 23 - H - C"
"1122","C","3","H","23",3.28,"none","3 - 23 - H - C"
"1123","C","3","H","24",2.75,"none","3 - 24 - H - C"
"1124","C","3","H","24",2.54,"none","3 - 24 - H - C"
"1125","C","3","H","24",4,"right","3 - 24 - H - C"
"1126","C","3","H","24",4,"right","3 - 24 - H - C"
"1127","C","3","H","24",3.18,"none","3 - 24 - H - C"
"1128","C","3","H","25",4,"right","3 - 25 - H - C"
"1129","C","3","H","25",4,"right","3 - 25 - H - C"
"1130","C","3","H","25",3.17,"none","3 - 25 - H - C"
"1131","C","3","H","26",1.86,"none","3 - 26 - H - C"
"1132","C","3","H","26",3.16,"none","3 - 26 - H - C"
"1133","C","3","H","26",3.74,"none","3 - 26 - H - C"
"1134","C","3","H","26",3.62,"none","3 - 26 - H - C"
"1135","C","3","H","26",1.99,"none","3 - 26 - H - C"
"1136","P","3","M","1",2.44,"none","3 - 1 - M - P"
"1137","P","3","M","1",1.91,"none","3 - 1 - M - P"
"1138","P","3","M","1",2.44,"none","3 - 1 - M - P"
"1139","P","3","M","1",2.41,"none","3 - 1 - M - P"
"1140","P","3","M","1",2.22,"none","3 - 1 - M - P"
"1141","P","3","M","2",0.86,"none","3 - 2 - M - P"
"1142","P","3","M","2",1.96,"none","3 - 2 - M - P"
"1143","P","3","M","2",1.06,"none","3 - 2 - M - P"
"1144","P","3","M","2",3.18,"none","3 - 2 - M - P"
"1145","P","3","M","3",2.34,"none","3 - 3 - M - P"
"1146","P","3","M","3",2.65,"none","3 - 3 - M - P"
"1147","P","3","M","3",1.48,"none","3 - 3 - M - P"
"1148","P","3","M","3",1.28,"none","3 - 3 - M - P"
"1149","P","3","M","3",2.03,"none","3 - 3 - M - P"
"1150","P","3","M","4",2,"none","3 - 4 - M - P"
"1151","P","3","M","4",1.92,"none","3 - 4 - M - P"
"1152","P","3","M","4",1.46,"none","3 - 4 - M - P"
"1153","P","3","M","4",1.58,"none","3 - 4 - M - P"
"1154","P","3","M","4",1.81,"none","3 - 4 - M - P"
"1155","P","3","M","5",0.79,"none","3 - 5 - M - P"
"1156","P","3","M","5",1.49,"none","3 - 5 - M - P"
"1157","P","3","M","5",1.35,"none","3 - 5 - M - P"
"1158","P","3","M","5",2.11,"none","3 - 5 - M - P"
"1159","P","3","M","5",2.72,"none","3 - 5 - M - P"
"1160","P","3","M","6",3.94,"none","3 - 6 - M - P"
"1161","P","3","M","6",2.85,"none","3 - 6 - M - P"
"1162","P","3","M","6",2.58,"none","3 - 6 - M - P"
"1163","P","3","M","6",1.57,"none","3 - 6 - M - P"
"1164","P","3","M","6",1.19,"none","3 - 6 - M - P"
"1165","P","3","M","7",1.34,"none","3 - 7 - M - P"
"1166","P","3","M","7",3.56,"none","3 - 7 - M - P"
"1167","P","3","M","7",4,"none","3 - 7 - M - P"
"1168","P","3","M","7",2.62,"none","3 - 7 - M - P"
"1169","P","3","M","7",1.49,"none","3 - 7 - M - P"
"1170","P","3","M","8",0.56,"none","3 - 8 - M - P"
"1171","P","3","M","8",1.17,"none","3 - 8 - M - P"
"1172","P","3","M","8",1.85,"none","3 - 8 - M - P"
"1173","P","3","M","8",0.75,"none","3 - 8 - M - P"
"1174","P","3","M","8",3.03,"none","3 - 8 - M - P"
"1175","P","3","M","9",2.48,"none","3 - 9 - M - P"
"1176","P","3","M","9",1.63,"none","3 - 9 - M - P"
"1177","P","3","M","9",0.79,"none","3 - 9 - M - P"
"1178","P","3","M","10",2.27,"none","3 - 10 - M - P"
"1179","P","3","M","10",1.5,"none","3 - 10 - M - P"
"1180","P","3","M","10",2.07,"none","3 - 10 - M - P"
"1181","P","3","M","10",1.73,"none","3 - 10 - M - P"
"1182","P","3","M","10",3.63,"none","3 - 10 - M - P"
"1183","P","3","M","11",1.56,"none","3 - 11 - M - P"
"1184","P","3","M","11",0.92,"none","3 - 11 - M - P"
"1185","P","3","M","11",1.32,"none","3 - 11 - M - P"
"1186","P","3","M","11",1.44,"none","3 - 11 - M - P"
"1187","P","3","M","11",1.3,"none","3 - 11 - M - P"
"1188","P","3","M","12",1.6,"none","3 - 12 - M - P"
"1189","P","3","M","12",1.15,"none","3 - 12 - M - P"
"1190","P","3","M","12",1.19,"none","3 - 12 - M - P"
"1191","P","3","M","12",2.1,"none","3 - 12 - M - P"
"1192","P","3","M","12",2.09,"none","3 - 12 - M - P"
"1193","C","3","M","14",2.88,"none","3 - 14 - M - C"
"1194","C","3","M","14",2.68,"none","3 - 14 - M - C"
"1195","C","3","M","14",1.53,"none","3 - 14 - M - C"
"1196","C","3","M","14",1.48,"none","3 - 14 - M - C"
"1197","C","3","M","14",3.71,"none","3 - 14 - M - C"
"1198","C","3","M","15",2.37,"none","3 - 15 - M - C"
"1199","C","3","M","15",3.35,"none","3 - 15 - M - C"
